Rk,Player,Nation,Pos,Squad,Age,Born,Matches Played,Starts,Min,Total_Goals,Assits,G+A,Goal_without_Penalties,Penalty_Goals,Total_Penalties_Atemptted,Weekly Wages,Annual Wages
594,Brais Mendez,es ESP,MF,Real Sociedad,27,1997,27,19,1531,3,2,5,3,0,0,"EUR 42,308 (PS 35,711, $43,612)","EUR 2,200,000 (PS 1,856,968, $2,267,826)"
595,Brian Olivan,es ESP,DF,Espanyol,30,1994,17,12,1017,0,1,1,0,0,0,"EUR 10,385 (PS 8,765, $10,705)","EUR 540,000 (PS 455,801, $556,648)"
596,Bryan Gil,es ESP,"FW,MF",Girona,23,2001,25,21,1721,3,3,6,3,0,0,"EUR 48,077 (PS 40,581, $49,559)","EUR 2,500,000 (PS 2,110,191, $2,577,075)"
597,Bryan Zaragoza,es ESP,"FW,MF",Osasuna,22,2001,27,22,1836,1,6,7,1,0,0,"EUR 120,192 (PS 101,451, $123,898)","EUR 6,250,000 (PS 5,275,477, $6,442,688)"
598,Carl Starfelt,se SWE,DF,Celta Vigo,29,1995,28,26,2270,1,0,1,1,0,0,"EUR 21,154 (PS 17,855, $21,806)","EUR 1,100,000 (PS 928,484, $1,133,913)"
599,Carles Perez,es ESP,"MF,FW",Getafe,26,1998,27,15,1431,3,0,3,3,0,0,"EUR 49,231 (PS 41,555, $50,749)","EUR 2,560,000 (PS 2,160,835, $2,638,925)"
600,Carlos Benavidez,uy URU,MF,Alaves,26,1998,18,6,487,1,1,2,1,0,0,"EUR 6,346 (PS 5,357, $6,542)","EUR 330,000 (PS 278,545, $340,174)"
601,Carlos Dominguez,es ESP,DF,Celta Vigo,23,2001,19,13,1181,0,0,0,0,0,0,"EUR 2,885 (PS 2,435, $2,974)","EUR 150,000 (PS 126,611, $154,625)"
602,Carlos Martin,es ESP,"FW,MF",Alaves,22,2002,26,16,1333,2,2,4,2,0,0,"EUR 8,077 (PS 6,818, $8,326)","EUR 420,000 (PS 354,512, $432,949)"
603,Carlos Romero,es ESP,DF,Espanyol,22,2001,34,28,2554,2,1,3,2,0,0,"EUR 8,654 (PS 7,305, $8,921)","EUR 450,000 (PS 379,834, $463,874)"
604,Carlos Vicente,es ESP,"FW,MF",Alaves,25,1999,37,35,3092,5,5,10,4,1,1,"EUR 8,654 (PS 7,305, $8,921)","EUR 450,000 (PS 379,834, $463,874)"
605,Catena,es ESP,DF,Osasuna,29,1994,35,35,3074,1,3,4,1,0,0,"EUR 19,231 (PS 16,232, $19,824)","EUR 1,000,000 (PS 844,076, $1,030,830)"
606,Cenk Ozkacar,tr TUR,DF,Valladolid,23,2000,11,8,757,0,0,0,0,0,0,"EUR 11,346 (PS 9,577, $11,696)","EUR 590,000 (PS 498,005, $608,190)"
607,Chidera Ejuke,ng NGA,FW,Sevilla,26,1998,25,9,966,2,1,3,2,0,0,"EUR 34,231 (PS 28,893, $35,286)","EUR 1,780,000 (PS 1,502,456, $1,834,878)"
608,Chiquinho,pt POR,"MF,FW",Mallorca,24,2000,8,1,146,0,0,0,0,0,0,"EUR 11,538 (PS 9,739, $11,894)","EUR 600,000 (PS 506,446, $618,498)"
609,Christantus Uche,ng NGA,"FW,MF",Getafe,21,2003,33,30,2486,4,6,10,4,0,0,"EUR 3,462 (PS 2,922, $3,568)","EUR 180,000 (PS 151,934, $185,549)"
610,Clement Lenglet,fr FRA,DF,Atletico Madrid,29,1995,23,23,1972,2,1,3,2,0,0,"EUR 76,923 (PS 64,917, $87,144)","EUR 4,000,000 (PS 3,375,663, $4,531,510)"
611,Coba da Costa,es ESP,"MF,FW",Getafe,22,2002,19,12,1006,1,1,2,1,0,0,"EUR 2,692 (PS 2,272, $3,050)","EUR 140,000 (PS 118,148, $158,603)"
612,Conor Gallagher,eng ENG,MF,Atletico Madrid,24,2000,32,19,1633,3,3,6,3,0,0,"EUR 173,077 (PS 146,090, $178,413)","EUR 9,000,000 (PS 7,596,687, $9,277,471)"
613,Copete,es ESP,DF,Mallorca,24,1999,25,16,1528,0,0,0,0,0,0,"EUR 4,038 (PS 3,409, $4,163)","EUR 210,000 (PS 177,256, $216,474)"
614,Cristhian Mosquera,es ESP,DF,Valencia,20,2004,37,37,3319,1,0,1,1,0,0,"EUR 36,154 (PS 30,517, $37,268)","EUR 1,880,000 (PS 1,586,863, $1,937,961)"
615,Cristhian Stuani,uy URU,FW,Girona,37,1986,32,6,1078,11,2,13,8,3,3,"EUR 23,077 (PS 19,479, $23,788)","EUR 1,200,000 (PS 1,012,892, $1,236,996)"
616,Cucho,co COL,FW,Betis,25,1999,15,14,1139,5,1,6,5,0,0,"EUR 72,308 (PS 61,022, $81,916)","EUR 3,760,000 (PS 3,173,124, $4,259,620)"
617,Cyle Larin,ca CAN,FW,Mallorca,29,1995,32,21,1764,7,2,9,6,1,1,"EUR 16,154 (PS 13,635, $16,652)","EUR 840,000 (PS 709,024, $865,897)"
618,Cedric Bakambu,cd COD,FW,Betis,33,1991,25,6,710,2,2,4,2,0,0,"EUR 23,077 (PS 19,479, $23,788)","EUR 1,200,000 (PS 1,012,892, $1,236,996)"
619,Cesar Azpilicueta,es ESP,DF,Atletico Madrid,34,1989,14,10,875,1,0,1,1,0,0,"EUR 153,846 (PS 129,858, $158,589)","EUR 8,000,000 (PS 6,752,611, $8,246,641)"
620,Cesar Tarrega,es ESP,DF,Valencia,22,2002,34,34,3026,2,0,2,2,0,0,"EUR 3,846 (PS 3,246, $3,965)","EUR 200,000 (PS 168,815, $206,166)"
621,Daley Blind,nl NED,DF,Girona,34,1990,34,31,2780,0,2,2,0,0,0,"EUR 34,231 (PS 28,893, $35,286)","EUR 1,780,000 (PS 1,502,456, $1,834,878)"
622,Daley Sinkgraven,nl NED,DF,Las Palmas,29,1995,2,1,91,0,0,0,0,0,0,"EUR 28,846 (PS 24,348, $29,735)","EUR 1,500,000 (PS 1,266,114, $1,546,245)"
623,Damian Rodriguez,es ESP,MF,Celta Vigo,21,2003,17,10,927,0,0,0,0,0,0,"EUR 3,077 (PS 2,597, $3,172)","EUR 160,000 (PS 135,052, $164,933)"
624,Dani Carvajal,es ESP,DF,Real Madrid,32,1992,8,7,609,1,0,1,1,0,0,"EUR 200,385 (PS 169,140, $206,563)","EUR 10,420,000 (PS 8,795,275, $10,741,250)"
625,Dani Ceballos,es ESP,MF,Real Madrid,27,1996,23,15,1215,0,0,0,0,0,0,"EUR 200,385 (PS 169,140, $206,563)","EUR 10,420,000 (PS 8,795,275, $10,741,250)"
626,Dani Cardenas,es ESP,GK,Rayo Vallecano,27,1997,6,6,540,0,0,0,0,0,0,"EUR 8,654 (PS 7,305, $8,921)","EUR 450,000 (PS 379,834, $463,874)"
627,Dani Gomez,es ESP,FW,Valencia,26,1998,14,5,532,2,0,2,2,0,0,"EUR 10,577 (PS 8,928, $10,903)","EUR 550,000 (PS 464,242, $566,957)"
628,Dani Olmo,es ESP,"MF,FW",Barcelona,26,1998,25,13,1212,10,3,13,8,2,2,"EUR 180,385 (PS 152,258, $185,946)","EUR 9,380,000 (PS 7,917,436, $9,669,186)"
629,Dani Raba,es ESP,"FW,MF",Leganes,28,1995,29,24,1879,8,6,14,4,4,5,"EUR 8,462 (PS 7,142, $8,722)","EUR 440,000 (PS 371,394, $453,565)"
630,Dani Rodriguez,es ESP,"MF,FW",Mallorca,36,1988,37,26,2162,4,7,11,4,0,0,"EUR 10,000 (PS 8,441, $10,308)","EUR 520,000 (PS 438,920, $536,032)"
631,Daniel Parejo,es ESP,MF,Villarreal,35,1989,36,26,2273,3,3,6,2,1,2,"EUR 60,000 (PS 50,645, $61,850)","EUR 3,120,000 (PS 2,633,518, $3,216,190)"
632,Daniel Vivian,es ESP,DF,Athletic Club,25,1999,32,28,2608,4,0,4,4,0,0,"EUR 60,192 (PS 50,807, $62,048)","EUR 3,130,000 (PS 2,641,959, $3,226,498)"
633,Dario Essugo,pt POR,MF,Las Palmas,19,2005,27,25,1938,1,0,1,1,0,0,"EUR 9,231 (PS 7,791, $9,515)","EUR 480,000 (PS 405,157, $494,798)"
634,Darko Brasanac,rs SRB,MF,Leganes,32,1992,30,15,1617,1,2,3,1,0,0,"EUR 10,000 (PS 8,441, $10,308)","EUR 520,000 (PS 438,920, $536,032)"
635,Darwin Machis,ve VEN,"MF,FW",Valladolid,31,1993,18,7,639,0,1,1,0,0,0,"EUR 27,885 (PS 23,537, $28,744)","EUR 1,450,000 (PS 1,223,911, $1,494,704)"
