Rk,Player,Nation,Pos,Squad,Age,Born,Matches Played,Starts,Min,Total_Goals,Assits,G+A,Goal_without_Penalties,Penalty_Goals,Total_Penalties_Atemptted,Weekly Wages,Annual Wages
1,Aaron Cresswell,eng ENG,DF,West Ham,34,1989,18,10,824,0,0,0,0,0,0,"PS 50,000 (EUR 59,237, $61,063)","PS 2,600,000 (EUR 3,080,342, $3,175,256)"
2,Aaron Ramsdale,eng ENG,GK,Southampton,26,1998,30,30,2700,0,0,0,0,0,0,"PS 120,000 (EUR 142,170, $146,550)","PS 6,240,000 (EUR 7,392,822, $7,620,614)"
3,Aaron Wan-Bissaka,cd COD,DF,West Ham,26,1997,36,35,3154,2,5,7,2,0,0,"PS 90,000 (EUR 106,627, $109,913)","PS 4,680,000 (EUR 5,544,616, $5,715,460)"
4,Abdoulaye Doucoure,ml MLI,MF,Everton,31,1993,33,31,2564,3,2,5,3,0,0,"PS 130,000 (EUR 154,017, $158,763)","PS 6,760,000 (EUR 8,008,890, $8,255,665)"
5,Abdukodir Khusanov,uz UZB,DF,Manchester City,20,2004,6,6,503,0,0,0,0,0,0,"PS 20,000 (EUR 23,699, $26,849)","PS 1,040,000 (EUR 1,232,348, $1,396,151)"
6,Adam Armstrong,eng ENG,"FW,MF",Southampton,27,1997,20,15,1248,2,2,4,2,0,1,"PS 60,000 (EUR 71,085, $73,275)","PS 3,120,000 (EUR 3,696,411, $3,810,307)"
7,Adam Lallana,eng ENG,MF,Southampton,36,1988,14,5,361,0,2,2,0,0,0,"PS 45,000 (EUR 53,314, $54,956)","PS 2,340,000 (EUR 2,772,308, $2,857,730)"
8,Adam Smith,eng ENG,DF,Bournemouth,33,1991,25,19,1590,0,0,0,0,0,0,"PS 40,000 (EUR 47,390, $48,850)","PS 2,080,000 (EUR 2,464,274, $2,540,205)"
9,Adam Webster,eng ENG,DF,Brighton,29,1995,14,11,887,0,0,0,0,0,0,"PS 55,000 (EUR 65,161, $67,169)","PS 2,860,000 (EUR 3,388,377, $3,492,781)"
10,Adam Wharton,eng ENG,MF,Crystal Palace,20,2004,20,16,1318,0,2,2,0,0,0,"PS 35,000 (EUR 41,466, $42,744)","PS 1,820,000 (EUR 2,156,240, $2,222,679)"
11,Adama Traore,es ESP,"FW,MF",Fulham,28,1996,36,18,1772,2,7,9,2,0,0,"PS 65,000 (EUR 77,009, $79,381)","PS 3,380,000 (EUR 4,004,445, $4,127,832)"
12,Albert Gronbaek,dk DEN,"FW,MF",Southampton,23,2001,4,2,143,0,0,0,0,0,0,"PS 18,000 (EUR 21,329, $24,164)","PS 936,000 (EUR 1,109,113, $1,256,536)"
13,Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20,2004,36,23,2199,6,2,8,6,0,0,"PS 50,000 (EUR 59,237, $61,063)","PS 2,600,000 (EUR 3,080,342, $3,175,256)"
14,Alex Iwobi,ng NGA,"FW,MF",Fulham,28,1996,38,35,2981,9,6,15,9,0,0,"PS 80,000 (EUR 94,780, $97,700)","PS 4,160,000 (EUR 4,928,548, $5,080,409)"
15,Alex McCarthy,eng ENG,GK,Southampton,34,1989,5,5,450,0,0,0,0,0,0,"PS 40,000 (EUR 47,390, $48,850)","PS 2,080,000 (EUR 2,464,274, $2,540,205)"
16,Alex Palmer,eng ENG,GK,Ipswich Town,27,1996,13,13,1170,0,0,0,0,0,0,"PS 12,000 (EUR 14,219, $16,109)","PS 624,000 (EUR 739,409, $837,690)"
17,Alex Scott,eng ENG,MF,Bournemouth,20,2003,20,8,755,0,0,0,0,0,0,"PS 40,000 (EUR 47,390, $48,850)","PS 2,080,000 (EUR 2,464,274, $2,540,205)"
18,Alexander Isak,se SWE,FW,Newcastle Utd,24,1999,34,34,2756,23,6,29,19,4,4,"PS 120,000 (EUR 142,170, $146,550)","PS 6,240,000 (EUR 7,392,822, $7,620,614)"
19,Alexis Mac Allister,ar ARG,MF,Liverpool,25,1998,35,30,2599,5,5,10,5,0,0,"PS 150,000 (EUR 177,712, $183,188)","PS 7,800,000 (EUR 9,241,027, $9,525,767)"
20,Ali Al Hamadi,iq IRQ,FW,Ipswich Town,22,2002,11,0,134,0,0,0,0,0,0,"PS 10,000 (EUR 11,847, $12,213)","PS 520,000 (EUR 616,068, $635,051)"
21,Alisson,br BRA,GK,Liverpool,31,1992,28,28,2508,0,0,0,0,0,0,"PS 150,000 (EUR 177,712, $183,188)","PS 7,800,000 (EUR 9,241,027, $9,525,767)"
22,Alphonse Areola,fr FRA,GK,West Ham,31,1993,26,25,2260,0,0,0,0,0,0,"PS 120,000 (EUR 142,170, $146,550)","PS 6,240,000 (EUR 7,392,822, $7,620,614)"
23,Altay Bayindir,tr TUR,GK,Manchester Utd,26,1998,4,4,360,0,0,0,0,0,0,"PS 35,000 (EUR 41,466, $42,744)","PS 1,820,000 (EUR 2,156,240, $2,222,679)"
24,Amad Diallo,ci CIV,"MF,FW",Manchester Utd,22,2002,26,20,1901,8,6,14,8,0,0,"PS 28,846 (EUR 34,175, $35,228)","PS 1,500,000 (EUR 1,777,121, $1,831,878)"
25,Amadou Onana,be BEL,MF,Aston Villa,22,2001,26,20,1617,3,0,3,3,0,0,"PS 140,000 (EUR 165,865, $170,975)","PS 7,280,000 (EUR 8,624,959, $8,890,716)"
26,Andreas Pereira,br BRA,MF,Fulham,28,1996,33,25,2013,2,4,6,2,0,1,"PS 50,000 (EUR 59,237, $61,063)","PS 2,600,000 (EUR 3,080,342, $3,175,256)"
27,Andrew Robertson,sct SCO,DF,Liverpool,30,1994,33,29,2482,0,1,1,0,0,0,"PS 160,000 (EUR 189,560, $195,400)","PS 8,320,000 (EUR 9,857,096, $10,160,818)"
28,Andre,br BRA,MF,Wolves,23,2001,33,31,2472,0,0,0,0,0,0,"PS 35,000 (EUR 41,466, $42,744)","PS 1,820,000 (EUR 2,156,240, $2,222,679)"
29,Andre Onana,cm CMR,GK,Manchester Utd,28,1996,34,34,3060,0,0,0,0,0,0,"PS 120,000 (EUR 142,170, $146,550)","PS 6,240,000 (EUR 7,392,822, $7,620,614)"
30,Andres Garcia,es ESP,"DF,MF",Aston Villa,21,2003,7,5,318,0,0,0,0,0,0,"PS 15,000 (EUR 17,774, $20,137)","PS 780,000 (EUR 924,261, $1,047,113)"
31,Andy Irving,sct SCO,MF,West Ham,24,2000,10,1,166,0,0,0,0,0,0,"PS 5,000 (EUR 5,924, $6,106)","PS 260,000 (EUR 308,034, $317,526)"
32,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,22,2002,38,31,2501,6,11,17,6,0,0,"PS 25,000 (EUR 29,619, $30,531)","PS 1,300,000 (EUR 1,540,171, $1,587,628)"
33,Anthony Gordon,eng ENG,"FW,MF",Newcastle Utd,23,2001,34,28,2434,6,5,11,5,1,2,"PS 150,000 (EUR 177,712, $183,188)","PS 7,800,000 (EUR 9,241,027, $9,525,767)"
34,Antoine Semenyo,gh GHA,FW,Bournemouth,24,2000,37,36,3203,11,5,16,11,0,0,"PS 50,000 (EUR 59,237, $61,063)","PS 2,600,000 (EUR 3,080,342, $3,175,256)"
35,Antonee Robinson,us USA,DF,Fulham,26,1997,36,35,3167,0,10,10,0,0,0,"PS 50,000 (EUR 59,237, $61,063)","PS 2,600,000 (EUR 3,080,342, $3,175,256)"
36,Antony,br BRA,"DF,MF",Manchester Utd,24,2000,8,0,141,0,0,0,0,0,0,"PS 200,000 (EUR 236,949, $244,250)","PS 10,400,000 (EUR 12,321,370, $12,701,023)"
37,Antonin Kinsky,cz CZE,GK,Tottenham,21,2003,6,6,540,0,0,0,0,0,0,"PS 20,000 (EUR 23,699, $26,849)","PS 1,040,000 (EUR 1,232,348, $1,396,151)"
38,Archie Gray,eng ENG,"DF,MF",Tottenham,18,2006,28,19,1751,0,0,0,0,0,0,"PS 75,000 (EUR 88,856, $91,594)","PS 3,900,000 (EUR 4,620,514, $4,762,884)"
39,Arijanet Muric,xk KVX,GK,Ipswich Town,25,1998,18,18,1620,0,0,0,0,0,0,"PS 35,000 (EUR 41,466, $42,744)","PS 1,820,000 (EUR 2,156,240, $2,222,679)"
40,Armando Broja,al ALB,FW,Everton,22,2001,10,4,334,0,0,0,0,0,0,"PS 40,000 (EUR 47,390, $48,850)","PS 2,080,000 (EUR 2,464,274, $2,540,205)"
41,Armel Bella Kotchap,de GER,DF,Southampton,22,2001,4,2,331,0,0,0,0,0,0,"PS 15,000 (EUR 17,771, $18,319)","PS 780,000 (EUR 924,103, $952,577)"
42,Ashley Young,eng ENG,DF,Everton,39,1985,32,19,1875,1,3,4,1,0,0,"PS 40,000 (EUR 47,390, $48,850)","PS 2,080,000 (EUR 2,464,274, $2,540,205)"
43,Axel Tuanzebe,cd COD,DF,Ipswich Town,26,1997,22,20,1710,0,1,1,0,0,0,"PS 40,000 (EUR 47,390, $48,850)","PS 2,080,000 (EUR 2,464,274, $2,540,205)"
44,Ayden Heaven,eng ENG,DF,Manchester Utd,17,2006,4,2,170,0,0,0,0,0,0,"PS 4,000 (EUR 4,740, $5,370)","PS 208,000 (EUR 246,470, $279,230)"
45,Bart Verbruggen,nl NED,GK,Brighton,21,2002,36,36,3240,0,1,1,0,0,0,"PS 35,000 (EUR 41,466, $42,744)","PS 1,820,000 (EUR 2,156,240, $2,222,679)"
46,Ben Brereton,cl CHI,FW,Southampton,25,1999,10,4,449,0,0,0,0,0,0,"PS 35,000 (EUR 41,466, $42,744)","PS 1,820,000 (EUR 2,156,240, $2,222,679)"
47,Ben Chilwell,eng ENG,DF,Crystal Palace,27,1996,8,1,259,1,0,1,1,0,0,"PS 100,000 (EUR 118,495, $134,245)","PS 5,200,000 (EUR 6,161,738, $6,980,754)"
48,Ben Davies,wls WAL,DF,Tottenham,31,1993,17,14,1331,0,0,0,0,0,0,"PS 80,000 (EUR 94,780, $97,700)","PS 4,160,000 (EUR 4,928,548, $5,080,409)"
49,Ben Godfrey,eng ENG,DF,Ipswich Town,26,1998,3,2,159,0,0,0,0,0,0,"PS 75,000 (EUR 88,871, $100,684)","PS 3,900,000 (EUR 4,621,303, $5,235,566)"
50,Ben Johnson,eng ENG,"DF,FW",Ipswich Town,24,2000,23,14,1354,1,2,3,1,0,0,"PS 30,000 (EUR 35,542, $36,638)","PS 1,560,000 (EUR 1,848,205, $1,905,153)"
51,Ben Mee,eng ENG,DF,Brentford,34,1989,7,2,183,0,0,0,0,0,0,"PS 55,000 (EUR 65,161, $67,169)","PS 2,860,000 (EUR 3,388,377, $3,492,781)"
52,Ben White,eng ENG,DF,Arsenal,26,1997,17,13,1198,0,2,2,0,0,0,"PS 150,000 (EUR 177,712, $183,188)","PS 7,800,000 (EUR 9,241,027, $9,525,767)"
53,Benoit Badiashile,fr FRA,DF,Chelsea,23,2001,5,3,334,0,0,0,0,0,0,"PS 90,000 (EUR 106,627, $109,913)","PS 4,680,000 (EUR 5,544,616, $5,715,460)"
54,Bernardo Silva,pt POR,"MF,FW",Manchester City,29,1994,33,29,2670,4,4,8,4,0,0,"PS 300,000 (EUR 355,424, $366,376)","PS 15,600,000 (EUR 18,482,055, $19,051,534)"
55,Bernd Leno,de GER,GK,Fulham,32,1992,38,38,3420,0,1,1,0,0,0,"PS 130,000 (EUR 154,017, $158,763)","PS 6,760,000 (EUR 8,008,890, $8,255,665)"
56,Beto,gw GNB,FW,Everton,26,1998,30,15,1534,8,0,8,8,0,0,"PS 50,000 (EUR 59,237, $61,063)","PS 2,600,000 (EUR 3,080,342, $3,175,256)"
57,Bilal El Khannouss,ma MAR,"MF,FW",Leicester City,20,2004,32,27,2182,2,3,5,2,0,0,"PS 35,000 (EUR 41,466, $42,744)","PS 1,820,000 (EUR 2,156,240, $2,222,679)"
58,Bobby De Cordova-Reid,jm JAM,FW,Leicester City,31,1993,23,9,744,1,2,3,1,0,0,"PS 35,000 (EUR 41,466, $42,744)","PS 1,820,000 (EUR 2,156,240, $2,222,679)"
59,Boubacar Kamara,fr FRA,MF,Aston Villa,24,1999,26,20,1726,1,0,1,1,0,0,"PS 150,000 (EUR 177,712, $183,188)","PS 7,800,000 (EUR 9,241,027, $9,525,767)"
60,Boubacar Traore,ml MLI,MF,Wolves,22,2001,1,0,1,0,0,0,0,0,0,"PS 55,000 (EUR 65,161, $67,169)","PS 2,860,000 (EUR 3,388,377, $3,492,781)"
61,Boubakary Soumare,fr FRA,MF,Leicester City,25,1999,31,25,2171,0,0,0,0,0,0,"PS 80,000 (EUR 94,780, $97,700)","PS 4,160,000 (EUR 4,928,548, $5,080,409)"
62,Brajan Gruda,de GER,"MF,FW",Brighton,20,2004,21,8,687,1,4,5,1,0,0,"PS 50,000 (EUR 59,237, $61,063)","PS 2,600,000 (EUR 3,080,342, $3,175,256)"
63,Brandon Austin,eng ENG,GK,Tottenham,25,1999,1,1,90,0,0,0,0,0,0,"PS 15,000 (EUR 17,771, $18,319)","PS 780,000 (EUR 924,103, $952,577)"
64,Brennan Johnson,wls WAL,FW,Tottenham,23,2001,33,24,2177,11,3,14,11,0,0,"PS 70,000 (EUR 82,932, $85,488)","PS 3,640,000 (EUR 4,312,479, $4,445,358)"
65,Bruno Fernandes,pt POR,MF,Manchester Utd,29,1994,36,35,3018,8,10,18,5,3,3,"PS 300,000 (EUR 355,424, $366,376)","PS 15,600,000 (EUR 18,482,055, $19,051,534)"
66,Bruno Guimaraes,br BRA,MF,Newcastle Utd,26,1997,38,38,3271,5,6,11,5,0,0,"PS 160,000 (EUR 189,560, $195,400)","PS 8,320,000 (EUR 9,857,096, $10,160,818)"
67,Bryan Mbeumo,cm CMR,FW,Brentford,24,1999,38,38,3414,20,7,27,15,5,6,"PS 45,000 (EUR 53,314, $54,956)","PS 2,340,000 (EUR 2,772,308, $2,857,730)"
68,Bukayo Saka,eng ENG,"FW,MF",Arsenal,22,2001,25,20,1729,6,10,16,5,1,1,"PS 195,000 (EUR 231,026, $238,144)","PS 10,140,000 (EUR 12,013,336, $12,383,497)"
69,Caleb Kporha,eng ENG,DF,Crystal Palace,18,2006,2,0,13,0,0,0,0,0,0,"PS 5,000 (EUR 5,925, $6,712)","PS 260,000 (EUR 308,087, $349,038)"
70,Caleb Okoli,it ITA,DF,Leicester City,23,2001,19,12,1125,1,0,1,1,0,0,"PS 25,000 (EUR 29,619, $30,531)","PS 1,300,000 (EUR 1,540,171, $1,587,628)"
71,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,23,2000,31,25,2194,5,2,7,5,0,0,"PS 80,000 (EUR 94,780, $97,700)","PS 4,160,000 (EUR 4,928,548, $5,080,409)"
72,Callum Wilson,eng ENG,FW,Newcastle Utd,32,1992,18,2,370,0,0,0,0,0,0,"PS 46,000 (EUR 54,498, $56,178)","PS 2,392,000 (EUR 2,833,915, $2,921,235)"
73,Calvin Bassey,ng NGA,DF,Fulham,24,1999,35,34,3074,1,0,1,1,0,0,"PS 45,000 (EUR 53,314, $54,956)","PS 2,340,000 (EUR 2,772,308, $2,857,730)"
74,Cameron Archer,eng ENG,FW,Southampton,23,2001,35,13,1441,2,0,2,2,0,1,"PS 40,000 (EUR 47,390, $48,850)","PS 2,080,000 (EUR 2,464,274, $2,540,205)"
75,Cameron Burgess,au AUS,DF,Ipswich Town,28,1995,18,16,1541,0,2,2,0,0,0,"PS 8,000 (EUR 9,478, $9,770)","PS 416,000 (EUR 492,855, $508,041)"
76,Caoimhin Kelleher,ie IRL,GK,Liverpool,25,1998,10,10,900,0,0,0,0,0,0,"PS 10,000 (EUR 11,847, $12,213)","PS 520,000 (EUR 616,068, $635,051)"
77,Carlos Alcaraz,ar ARG,"FW,MF",Everton,21,2002,16,7,774,2,3,5,2,0,0,"PS 20,000 (EUR 23,699, $26,849)","PS 1,040,000 (EUR 1,232,348, $1,396,151)"
78,Carlos Baleba,cm CMR,MF,Brighton,20,2004,34,31,2661,3,1,4,3,0,0,"PS 12,500 (EUR 14,809, $15,266)","PS 650,000 (EUR 770,086, $793,814)"
79,Carlos Forbs,pt POR,"MF,FW",Wolves,20,2004,10,1,239,0,0,0,0,0,0,"PS 20,000 (EUR 23,695, $24,425)","PS 1,040,000 (EUR 1,232,137, $1,270,102)"
80,Carlos Soler,es ESP,"MF,FW",West Ham,27,1997,31,14,1409,1,1,2,1,0,0,"PS 80,000 (EUR 94,780, $97,700)","PS 4,160,000 (EUR 4,928,548, $5,080,409)"
81,Carlos Vinicius,br BRA,"MF,FW",Fulham,29,1995,3,0,16,0,0,0,0,0,0,"PS 40,000 (EUR 47,390, $48,850)","PS 2,080,000 (EUR 2,464,274, $2,540,205)"
82,Casemiro,br BRA,MF,Manchester Utd,32,1992,24,18,1494,1,0,1,1,0,0,"PS 350,000 (EUR 414,661, $427,438)","PS 18,200,000 (EUR 21,562,397, $22,226,790)"
83,Chadi Riad,ma MAR,DF,Crystal Palace,21,2003,1,1,90,0,0,0,0,0,0,"PS 30,000 (EUR 35,542, $36,638)","PS 1,560,000 (EUR 1,848,205, $1,905,153)"
84,Charlie Taylor,eng ENG,DF,Southampton,30,1993,8,3,356,0,0,0,0,0,0,"PS 30,000 (EUR 35,542, $36,638)","PS 1,560,000 (EUR 1,848,205, $1,905,153)"
85,Cheick Doucoure,ml MLI,MF,Crystal Palace,24,2000,13,4,452,0,0,0,0,0,0,"PS 70,000 (EUR 82,932, $85,488)","PS 3,640,000 (EUR 4,312,479, $4,445,358)"
86,Chiedozie Ogbene,ie IRL,FW,Ipswich Town,27,1997,5,3,238,0,0,0,0,0,0,"PS 25,000 (EUR 29,619, $30,531)","PS 1,300,000 (EUR 1,540,171, $1,587,628)"
87,Chris Richards,us USA,DF,Crystal Palace,24,2000,24,22,1922,1,0,1,1,0,0,"PS 55,000 (EUR 65,161, $67,169)","PS 2,860,000 (EUR 3,388,377, $3,492,781)"
88,Chris Wood,nz NZL,FW,Nott'ham Forest,32,1991,36,35,2959,20,3,23,17,3,3,"PS 80,000 (EUR 94,780, $97,700)","PS 4,160,000 (EUR 4,928,548, $5,080,409)"
89,Christian Eriksen,dk DEN,MF,Manchester Utd,32,1992,23,11,1061,1,2,3,0,1,1,"PS 150,000 (EUR 177,712, $183,188)","PS 7,800,000 (EUR 9,241,027, $9,525,767)"
90,Christian Norgaard,dk DEN,MF,Brentford,30,1994,34,34,2819,5,4,9,5,0,0,"PS 35,000 (EUR 41,466, $42,744)","PS 1,820,000 (EUR 2,156,240, $2,222,679)"
91,Christian Walton,eng ENG,GK,Ipswich Town,28,1995,7,7,630,0,0,0,0,0,0,"PS 20,000 (EUR 23,695, $24,425)","PS 1,040,000 (EUR 1,232,137, $1,270,102)"
92,Christopher Nkunku,fr FRA,FW,Chelsea,26,1997,27,9,921,3,2,5,3,0,0,"PS 195,000 (EUR 231,026, $238,144)","PS 10,140,000 (EUR 12,013,336, $12,383,497)"
93,Claudio Echeverri,ar ARG,FW,Manchester City,18,2006,1,0,6,0,0,0,0,0,0,"PS 15,000 (EUR 17,774, $20,137)","PS 780,000 (EUR 924,261, $1,047,113)"
94,Cody Gakpo,nl NED,FW,Liverpool,25,1999,35,23,1935,10,4,14,10,0,0,"PS 120,000 (EUR 142,170, $146,550)","PS 6,240,000 (EUR 7,392,822, $7,620,614)"
95,Cole Palmer,eng ENG,"MF,FW",Chelsea,22,2002,37,36,3191,15,8,23,11,4,5,"PS 130,000 (EUR 154,017, $158,763)","PS 6,760,000 (EUR 8,008,890, $8,255,665)"
96,Conor Bradley,nir NIR,DF,Liverpool,21,2003,19,7,754,0,2,2,0,0,0,"PS 10,000 (EUR 11,847, $12,213)","PS 520,000 (EUR 616,068, $635,051)"
97,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,27,1997,22,10,857,1,1,2,1,0,0,"PS 15,000 (EUR 17,771, $18,319)","PS 780,000 (EUR 924,103, $952,577)"
98,Conor Coady,eng ENG,DF,Leicester City,31,1993,22,19,1714,1,0,1,1,0,0,"PS 75,000 (EUR 88,856, $91,594)","PS 3,900,000 (EUR 4,620,514, $4,762,884)"
99,Conor Townsend,eng ENG,DF,Ipswich Town,31,1993,6,3,335,0,1,1,0,0,0,"PS 15,000 (EUR 17,771, $18,319)","PS 780,000 (EUR 924,103, $952,577)"
100,Craig Dawson,eng ENG,DF,Wolves,34,1990,15,10,971,0,0,0,0,0,0,"PS 45,000 (EUR 53,314, $54,956)","PS 2,340,000 (EUR 2,772,308, $2,857,730)"
101,Cristian Romero,ar ARG,DF,Tottenham,26,1998,18,18,1416,1,0,1,1,0,0,"PS 165,000 (EUR 195,483, $201,507)","PS 8,580,000 (EUR 10,165,130, $10,478,344)"
102,Crysencio Summerville,nl NED,"FW,MF",West Ham,22,2001,19,7,786,1,1,2,1,0,0,"PS 30,000 (EUR 35,542, $36,638)","PS 1,560,000 (EUR 1,848,205, $1,905,153)"
103,Curtis Jones,eng ENG,"MF,DF",Liverpool,23,2001,33,19,1712,3,3,6,3,0,0,"PS 15,000 (EUR 17,771, $18,319)","PS 780,000 (EUR 924,103, $952,577)"
104,Daichi Kamada,jp JPN,MF,Crystal Palace,27,1996,34,15,1564,0,0,0,0,0,0,"PS 105,000 (EUR 124,398, $128,231)","PS 5,460,000 (EUR 6,468,719, $6,668,037)"
105,Dan Burn,eng ENG,DF,Newcastle Utd,32,1992,37,37,3330,1,1,2,1,0,0,"PS 55,000 (EUR 65,161, $67,169)","PS 2,860,000 (EUR 3,388,377, $3,492,781)"
106,Dane Scarlett,eng ENG,"FW,MF",Tottenham,20,2004,3,0,34,0,1,1,0,0,0,"PS 7,500 (EUR 8,887, $10,068)","PS 390,000 (EUR 462,130, $523,557)"
107,Dango Ouattara,bf BFA,FW,Bournemouth,22,2002,32,21,2005,7,4,11,7,0,0,"PS 35,000 (EUR 41,466, $42,744)","PS 1,820,000 (EUR 2,156,240, $2,222,679)"
108,Daniel Bentley,eng ENG,GK,Wolves,31,1993,2,2,180,0,0,0,0,0,0,"PS 20,000 (EUR 23,695, $24,425)","PS 1,040,000 (EUR 1,232,137, $1,270,102)"
109,Daniel Jebbison,ca CAN,FW,Bournemouth,20,2003,16,0,119,1,0,1,1,0,0,"PS 5,000 (EUR 5,925, $6,712)","PS 260,000 (EUR 308,087, $349,038)"
110,Daniel Munoz,co COL,DF,Crystal Palace,28,1996,37,37,3228,4,5,9,4,0,0,"PS 45,000 (EUR 53,314, $54,956)","PS 2,340,000 (EUR 2,772,308, $2,857,730)"
111,Danilo,br BRA,"MF,FW",Nott'ham Forest,23,2001,8,5,275,0,0,0,0,0,0,"PS 30,000 (EUR 35,542, $36,638)","PS 1,560,000 (EUR 1,848,205, $1,905,153)"
112,Danny Ings,eng ENG,"FW,MF",West Ham,32,1992,15,1,284,1,2,3,1,0,0,"PS 125,000 (EUR 148,093, $152,657)","PS 6,500,000 (EUR 7,700,856, $7,938,139)"
113,Danny Ward,wls WAL,GK,Leicester City,31,1993,2,1,135,0,0,0,0,0,0,"PS 40,000 (EUR 47,390, $48,850)","PS 2,080,000 (EUR 2,464,274, $2,540,205)"
114,Danny Welbeck,eng ENG,FW,Brighton,33,1990,30,24,2115,10,4,14,9,1,1,"PS 60,000 (EUR 71,085, $73,275)","PS 3,120,000 (EUR 3,696,411, $3,810,307)"
115,Dara O'Shea,ie IRL,DF,Ipswich Town,25,1999,35,35,3122,0,2,2,0,0,0,"PS 35,000 (EUR 41,466, $42,744)","PS 1,820,000 (EUR 2,156,240, $2,222,679)"
116,Darwin Nunez,uy URU,FW,Liverpool,25,1999,30,8,1133,5,2,7,5,0,0,"PS 140,000 (EUR 165,865, $170,975)","PS 7,280,000 (EUR 8,624,959, $8,890,716)"
117,David Brooks,wls WAL,"FW,MF",Bournemouth,27,1997,29,9,960,2,0,2,2,0,0,"PS 50,000 (EUR 59,237, $61,063)","PS 2,600,000 (EUR 3,080,342, $3,175,256)"
118,David Raya,es ESP,GK,Arsenal,28,1995,38,38,3420,0,0,0,0,0,0,"PS 100,000 (EUR 118,475, $122,125)","PS 5,200,000 (EUR 6,160,685, $6,350,511)"
119,Dean Henderson,eng ENG,GK,Crystal Palace,27,1997,38,38,3420,0,0,0,0,0,0,"PS 100,000 (EUR 118,475, $122,125)","PS 5,200,000 (EUR 6,160,685, $6,350,511)"
120,Dean Huijsen,es ESP,DF,Bournemouth,19,2005,32,26,2427,3,2,5,3,0,0,"PS 30,000 (EUR 35,542, $36,638)","PS 1,560,000 (EUR 1,848,205, $1,905,153)"
121,Declan Rice,eng ENG,MF,Arsenal,25,1999,35,33,2825,4,7,11,4,0,0,"PS 240,000 (EUR 284,339, $293,101)","PS 12,480,000 (EUR 14,785,644, $15,241,227)"
122,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,24,2000,32,27,2389,7,4,11,7,0,0,"PS 110,000 (EUR 130,322, $134,338)","PS 5,720,000 (EUR 6,776,753, $6,985,563)"
123,Destiny Udogie,it ITA,DF,Tottenham,21,2002,25,24,1924,0,1,1,0,0,0,"PS 75,000 (EUR 88,856, $91,594)","PS 3,900,000 (EUR 4,620,514, $4,762,884)"
124,Diego Carlos,br BRA,DF,Aston Villa,31,1993,10,8,830,0,0,0,0,0,0,"PS 100,000 (EUR 118,475, $122,125)","PS 5,200,000 (EUR 6,160,685, $6,350,511)"
125,Diego Gomez,py PAR,MF,Brighton,21,2003,16,4,516,1,0,1,1,0,0,"PS 25,000 (EUR 29,624, $33,561)","PS 1,300,000 (EUR 1,540,434, $1,745,189)"
126,Diogo Dalot,pt POR,DF,Manchester Utd,25,1999,33,31,2814,0,3,3,0,0,0,"PS 85,000 (EUR 100,704, $103,806)","PS 4,420,000 (EUR 5,236,582, $5,397,935)"
127,Diogo Jota,pt POR,FW,Liverpool,27,1996,26,14,1196,6,3,9,6,0,0,"PS 140,000 (EUR 165,865, $170,975)","PS 7,280,000 (EUR 8,624,959, $8,890,716)"
128,Djed Spence,eng ENG,DF,Tottenham,23,2000,25,19,1792,1,2,3,1,0,0,"PS 50,000 (EUR 59,237, $61,063)","PS 2,600,000 (EUR 3,080,342, $3,175,256)"
129,Dominic Calvert-Lewin,eng ENG,FW,Everton,27,1997,26,19,1609,3,1,4,3,0,0,"PS 100,000 (EUR 118,475, $122,125)","PS 5,200,000 (EUR 6,160,685, $6,350,511)"
130,Dominic Solanke,eng ENG,FW,Tottenham,26,1997,27,25,2201,9,3,12,8,1,1,"PS 90,000 (EUR 106,627, $109,913)","PS 4,680,000 (EUR 5,544,616, $5,715,460)"
131,Dominik Szoboszlai,hu HUN,MF,Liverpool,23,2000,36,29,2491,6,6,12,6,0,0,"PS 120,000 (EUR 142,170, $146,550)","PS 6,240,000 (EUR 7,392,822, $7,620,614)"
132,Donyell Malen,nl NED,FW,Aston Villa,25,1999,14,2,305,3,0,3,3,0,0,"PS 140,000 (EUR 165,893, $187,943)","PS 7,280,000 (EUR 8,626,433, $9,773,056)"
133,Dwight McNeil,eng ENG,"MF,FW",Everton,24,1999,21,15,1371,4,6,10,4,0,0,"PS 25,000 (EUR 29,619, $30,531)","PS 1,300,000 (EUR 1,540,171, $1,587,628)"
134,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26,1998,34,31,2588,8,8,16,7,1,2,"PS 100,000 (EUR 118,475, $122,125)","PS 5,200,000 (EUR 6,160,685, $6,350,511)"
135,Eddie Nketiah,eng ENG,"FW,MF",Crystal Palace,25,1999,29,9,1034,3,1,4,3,0,0,"PS 90,000 (EUR 106,627, $109,913)","PS 4,680,000 (EUR 5,544,616, $5,715,460)"
136,Ederson,br BRA,GK,Manchester City,30,1993,26,26,2320,0,4,4,0,0,0,"PS 100,000 (EUR 118,475, $122,125)","PS 5,200,000 (EUR 6,160,685, $6,350,511)"
